AwayWinRate,CompetitionName,Country,DrawRate,HomeWinRate,Matchsplayed,Matchsremaining,url
35%,League One 2018/2019,Scotland,21%,45%,155,25,https://www.betexplorer.com/soccer/scotland/league-one/stats/
,,,,,,,
34%,Championship 2018/2019,Scotland,28%,38%,151,29,https://www.betexplorer.com/soccer/scotland/championship/stats/
,,,,,,,
37%,League Two 2018/2019,Scotland,17%,46%,155,25,https://www.betexplorer.com/soccer/scotland/league-two/stats/
,,,,,,,
39%,Highland League 2018/2019,Scotland,13%,48%,278,28,https://www.betexplorer.com/soccer/scotland/highland-league/stats/
,,,,,,,
36%,Lowland League 2018/2019,Scotland,21%,42%,192,21,https://www.betexplorer.com/soccer/scotland/lowland-league/stats/
,,,,,,,
34%,Premiership 2018/2019,Scotland,20%,46%,186,12,https://www.betexplorer.com/soccer/scotland/premiership/stats/
,,,,,,,
35%,King Cup 2019,Saudi Arabia,18%,47%,60,0,https://www.betexplorer.com/soccer/saudi-arabia/king-cup/stats/
,,,,,,,
21%,Ligue 1 2018/2019,Senegal,42%,37%,131,2,https://www.betexplorer.com/soccer/senegal/ligue-1/stats/
,,,,,,,
41%,Coppa Titano 2018/2019,San Marino,14%,45%,22,4,https://www.betexplorer.com/soccer/san-marino/coppa-titano/stats/
,,,,,,,
35%,Premier League 2019,Sierra Leone,38%,28%,73,7,https://www.betexplorer.com/soccer/sierra-leone/premier-league/stats/
,,,,,,,
28%,Super Liga 2018/2019,Serbia,25%,47%,227,13,https://www.betexplorer.com/soccer/serbia/super-liga/stats/
,,,,,,,
0%,Campionato Sammarinese 2018/2019,San Marino,0%,0%,0,6,https://www.betexplorer.com/soccer/san-marino/campionato-sammarinese/stats/
,,,,,,,
48%,Regionale 1 2019,Réunion,19%,33%,21,161,https://www.betexplorer.com/soccer/reunion/regionale-1/stats/
,,,,,,,
31%,Ligue 1 2018/2019,Republic of the Congo,21%,48%,87,4,https://www.betexplorer.com/soccer/republic-of-the-congo/ligue-1/stats/
,,,,,,,
70%,Romanian Cup Women 2018/2019,Romania,0%,30%,33,0,https://www.betexplorer.com/soccer/romania/romanian-cup-women/stats/
,,,,,,,
43%,Premier League 2018/2019,Qatar,17%,41%,120,12,https://www.betexplorer.com/soccer/qatar/premier-league/stats/
,,,,,,,
45%,Taça de Portugal 2018/2019,Portugal,18%,37%,165,1,https://www.betexplorer.com/soccer/portugal/taca-de-portugal/stats/
,,,,,,,
41%,PFL 2018,Philippines,14%,44%,76,1,https://www.betexplorer.com/soccer/philippines/pfl/stats/
,,,,,,,
50%,Polish Cup Women 2018/2019,Poland,17%,33%,12,2,https://www.betexplorer.com/soccer/poland/polish-cup-women/stats/
,,,,,,,
31%,Division 1 2018/2019,Poland,30%,39%,228,78,https://www.betexplorer.com/soccer/poland/division-1/stats/
,,,,,,,
0%,Primera Division 2019,Paraguay,0%,0%,0,132,https://www.betexplorer.com/soccer/paraguay/primera-division/stats/
,,,,,,,
21%,Liga 1 2019,Peru,32%,48%,63,90,https://www.betexplorer.com/soccer/peru/liga-1/stats/
,,,,,,,
40%,Ekstraliga Women 2018/2019,Poland,16%,44%,107,25,https://www.betexplorer.com/soccer/poland/ekstraliga-women/stats/
,,,,,,,
39%,LPF 2018/2019,Panama,26%,35%,59,31,https://www.betexplorer.com/soccer/panama/lpf/stats/
,,,,,,,
33%,West Bank League 2018/2019,Palestine,21%,46%,95,7,https://www.betexplorer.com/soccer/palestine/west-bank-league/stats/
,,,,,,,
38%,Central Youth League 2018/2019,Poland,21%,41%,165,75,https://www.betexplorer.com/soccer/poland/central-youth-league/stats/
,,,,,,,
